UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	089 BPM- Doctor Gray	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	092 BPM- Dark Sky	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	092 BPM- Illusion	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	092 BPM- In the Night	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	087 BPM- Only Drums 1	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	089 BPM- Only Drums 2	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	092 BPM- Come Back	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	092 BPM- Only Drums 3	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- Chips	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- In the Moove	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- Right Fiction	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- Slappy	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	097 BPM- Jenny Loonies	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	100 BPM- Ferocious	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	101 BPM- Chronic	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	101 BPM- Distorsion	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	106 BPM- Pop Corn	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	108 BPM- Fantastica	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	128 BPM- Dush	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	130 BPM- Witness	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	082 BPM- Liberty	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	082 BPM- Wake Up	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	086 BPM- Congo Slide	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	088 BPM- Color	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Eve	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Flavour	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Gadget Car	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Homies	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Memory Full	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Your Vibe	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	090 BPM- Brian	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	090 BPM- Guitaristic	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	090 BPM- Joyce	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	090 BPM- Transparence	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	092 BPM- Duality	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	092 BPM- Lara	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	092 BPM- Memo Ring	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	092 BPM- Ortensia	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	092 BPM- Pitch Up	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	096 BPM- Ocean	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	101 BPM- De la Dream	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	133 BPM- Spirit	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 080 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 081 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 082 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 083 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 084 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 085 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 086 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 087 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 088 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 089 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 090 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 091 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 092 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 093 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 094 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 095 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 096 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 097 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 098 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 099 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 100 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 101 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 102 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 103 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 104 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 105 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 106 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 107 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 108 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 109 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops A	Drums Loops A 110 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 080 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 081 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 082 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 083 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 084 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 085 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 086 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 087 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 088 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 089 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 090 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 091 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 092 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 093 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 094 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 095 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 096 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 097 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 098 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 099 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 100 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 101 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 102 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 103 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 104 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 105 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 106 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 107 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 108 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 109 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops B	Drums Loops B 110 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 080 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 081 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 082 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 083 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 084 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 085 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 086 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 087 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 088 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 089 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 090 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 091 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 092 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 093 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 094 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 095 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 096 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 097 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 098 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 099 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 100 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 101 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 102 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 103 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 104 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 105 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 106 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 107 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 108 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 109 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops C	Drums Loops C 110 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 080 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 081 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 082 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 083 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 084 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 085 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 086 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 087 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 088 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 089 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 090 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 091 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 092 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 093 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 094 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 095 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 096 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 097 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 098 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 099 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 100 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 101 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 102 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 103 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 104 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 105 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 106 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 107 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 108 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 109 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> Drums Loops D	Drums Loops D 110 BPM	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	02-Drums & Percs Loops -> HiHats Loops	HH Loops 080 BPM	
